SIMAN Run Controller.

360.0 Hours>
                                      ARENA Simulation Results
                                               tt_sina

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date : 7/11/2021
Analyst: tt_sina                                                     Model revision date: 7/11/2021

Replication ended at time      : 360.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
SS Week DC2.VATime                          .00000     (Insuf)    .00000     .00000          2    
SS Week DC2.NVATime                         .00000     (Insuf)    .00000     .00000          2    
SS Week DC2.WaitTime                        .00000     (Insuf)    .00000     .00000          2    
SS Week DC2.TranTime                        .00000     (Insuf)    .00000     .00000          2    
SS Week DC2.OtherTime                       .00000     (Insuf)    .00000     .00000          2    
SS Week DC2.TotalTime                       .00000     (Insuf)    .00000     .00000          2    
SS Week DC3.VATime                          .00000     (Insuf)    .00000     .00000          2    
SS Week DC3.NVATime                         .00000     (Insuf)    .00000     .00000          2    
SS Week DC3.WaitTime                        .00000     (Insuf)    .00000     .00000          2    
SS Week DC3.TranTime                        .00000     (Insuf)    .00000     .00000          2    
SS Week DC3.OtherTime                       .00000     (Insuf)    .00000     .00000          2    
SS Week DC3.TotalTime                       .00000     (Insuf)    .00000     .00000          2    
CHIQ_PDC_ND.VATime                          .00000     (Insuf)    .00000     .00000          2    
CHIQ_PDC_ND.NVATime                         .00000     (Insuf)    .00000     .00000          2    
CHIQ_PDC_ND.WaitTime                        .00000     (Insuf)    .00000     .00000          2    
CHIQ_PDC_ND.TranTime                        .00000     (Insuf)    .00000     .00000          2    
CHIQ_PDC_ND.OtherTime                       .00000     (Insuf)    .00000     .00000          2    
CHIQ_PDC_ND.TotalTime                       .00000     (Insuf)    .00000     .00000          2    
CHIQ_PDC_ED.VATime                          .00000     (Insuf)    .00000     .00000         14    
CHIQ_PDC_ED.NVATime                         .69454     (Insuf)    .00000     9.7235         14    
CHIQ_PDC_ED.WaitTime                        .00000     (Insuf)    .00000     .00000         14    
CHIQ_PDC_ED.TranTime                        .00000     (Insuf)    .00000     .00000         14    
CHIQ_PDC_ED.OtherTime                       .00000     (Insuf)    .00000     .00000         14    
CHIQ_PDC_ED.TotalTime                       .69454     (Insuf)    .00000     9.7235         14    
RQP.VATime                                  .00000     .00000     .00000     .00000      47988    
RQP.NVATime                                 .00000     .00000     .00000     .00000      47988    
RQP.WaitTime                                12.260     .34680     .00000     24.000      47988    
RQP.TranTime                                .00000     .00000     .00000     .00000      47988    
RQP.OtherTime                               .00000     .00000     .00000     .00000      47988    
RQP.TotalTime                               12.260     .34680     .00000     24.000      47988    
RQW18.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW18.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW18.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW18.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW18.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW18.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW19.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW19.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW19.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW19.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW19.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW19.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
